angle,distance,type
-38.396049957657716,2.9795462524195617,0
-38.396049957657716,2.9697859841076713,0
-38.396049957657716,2.9697859841076713,0
-38.396049957657716,2.9697859841076713,0
-38.396049957657716,2.9697859841076713,0
-38.396049957657716,2.9697859841076713,0
-38.396049957657716,2.9600276386304407,0
-38.396049957657716,2.9502712148517976,0
-38.396049957657716,2.9502712148517976,0
-38.11104045525999,3.0001431408060624,0
-38.11104045525999,3.0001431408060624,0
-38.11104045525999,2.9903794655771967,0
-38.11104045525999,2.9903794655771967,0
-38.11104045525999,2.980617715197013,0
-38.11104045525999,2.980617715197013,0
-38.11104045525999,2.980617715197013,0
-38.11104045525999,2.980617715197013,0
-38.11104045525999,2.980617715197013,0
-38.11104045525999,3.019676270367652,0
-38.396049957657716,2.9405167116367883,0
-38.396049957657716,2.9405167116367883,0
-38.396049957657716,2.9405167116367883,0
-38.396049957657716,2.9405167116367883,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9708578885274557,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-38.11104045525999,2.9610999844315944,0
-39.2579298509846,4.002199503876267,0
-39.2579298509846,3.9922314196952575,0
-39.2579298509846,3.982265383595946,0
-39.2579298509846,3.982265383595946,0
-39.2579298509846,3.982265383595946,0
-39.2579298509846,3.982265383595946,0
-39.2579298509846,3.9723013942979803,0
-39.2579298509846,3.9723013942979803,0
-39.2579298509846,3.9723013942979803,0
-39.2579298509846,3.9723013942979803,0
-39.2579298509846,3.9723013942979803,0
-39.2579298509846,3.962339450522337,0
-39.2579298509846,3.962339450522337,0
-39.2579298509846,3.962339450522337,0
-39.2579298509846,3.952379550991323,0
-39.2579298509846,3.952379550991323,0
-39.2579298509846,3.952379550991323,0
-38.969473665241324,4.0032568588570445,0
-38.969473665241324,4.0032568588570445,0
-38.969473665241324,4.0032568588570445,0
-38.969473665241324,4.0032568588570445,0
-38.969473665241324,4.0032568588570445,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,3.9932892464113188,0
-38.969473665241324,4.013226520371095,0
-38.969473665241324,4.013226520371095,0
-28.716021289120466,0.99682662967456,0
-28.716021289120466,1.006192492918567,0
-28.46113308649906,0.99766807327631,0
-28.46113308649906,0.99766807327631,0
-28.46113308649906,0.99766807327631,0
-28.46113308649906,0.99766807327631,0
-28.46113308649906,0.99766807327631,0
-28.46113308649906,0.99766807327631,0
-28.46113308649906,0.99766807327631,0
-28.46113308649906,0.99766807327631,0
-28.46113308649906,1.0070335515662996,0
-28.46113308649906,1.0070335515662996,0
-28.46113308649906,1.0070335515662996,0
-28.46113308649906,0.9883042938487585,0
-28.46113308649906,0.9883042938487585,0
-28.46113308649906,0.9883042938487585,0
-28.46113308649906,0.9883042938487585,0
-28.46113308649906,0.9883042938487585,0
-28.46113308649906,0.9883042938487585,0
-28.46113308649906,0.9883042938487585,0
-28.46113308649906,0.9883042938487585,0
-28.206858076817536,0.9985023730994146,0
-28.206858076817536,0.9985023730994146,0
-28.206858076817536,0.9985023730994146,0
-28.206858076817536,0.9985023730994146,0
-28.206858076817536,0.9985023730994146,0
-28.206858076817536,0.9985023730994146,0
-28.206858076817536,0.9985023730994146,0
-28.206858076817536,0.9985023730994146,0
-28.461133086499064,1.0164007296437287,0
-28.461133086499064,1.0164007296437287,0
-28.206858076817536,1.0078674664640965,0
-28.206858076817536,1.0078674664640965,0
-28.206858076817536,1.0078674664640965,0
-28.206858076817536,1.0078674664640965,0
-28.206858076817536,1.0078674664640965,0
-28.206858076817536,1.0078674664640965,0
-28.206858076817536,1.0078674664640965,0
-28.206858076817536,1.0078674664640965,0
-28.206858076817536,1.0078674664640965,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.20685807681754,0.9891389783877291,0
-28.716021289120466,1.9992515553702261,0
-28.716021289120466,1.9992515553702261,0
-28.716021289120466,1.9992515553702261,0
-28.716021289120466,1.9992515553702261,0
-28.716021289120466,1.9992515553702261,0
-28.716021289120466,2.0,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,2.008802939369526,0
-28.716021289120466,1.9897019734014012,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
-28.716021289120466,2.0183561264198113,0
